"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"CRC_01",-13.7103160713133,13.9995101380503,5.40493522167388,2.64638166056035,4.16267400531408,0.667694481004114,0.20219187516388,1.05967898454149,0.192336433944281,-2.1750242831762,-1.03818527189524,-3.61257423939279,-2.24376482452479,0.736200115184447,0.460374489017006,-0.181018640361764,-0.698391822042886,-0.408007928162655,-0.0472742414063624,3.74179853768197e-15
"CRC_02",-8.63586402700287,-2.68119604530084,1.99250661589594,1.45027178970858,0.487189051312302,0.987536076698177,1.71814158638737,-1.46600155889311,-3.81941245312828,4.67266529031959,0.862045244627166,0.372507841839756,-1.63693182883259,-0.811565727682455,0.0425052173289823,-4.80695602009729,1.98331992581348,-0.95391677682311,-2.82395270855548,2.36486177862538e-15
"CRC_03",-8.30520414031947,-3.32536179226639,2.74621351887909,1.58802646675223,0.267645040842297,0.740360288784417,1.27827869185379,-1.16982976255594,-1.98617152766884,5.65462588967307,-1.43138781687669,-2.35622531542122,2.97170947404281,-1.67976835562202,-0.597596461018399,2.08302443163192,-4.33113125958805,1.33732208161943,0.839135545749281,5.79072380324508e-15
"CRC_04",-11.1417857853023,-2.19678007129766,-15.1378208972958,6.22654080122767,5.47192024058106,-3.33514079778587,-1.42398129493604,-0.261218076507867,0.0904888508071314,-0.809617409589307,-0.154554181937593,-0.504344459906692,-0.110796809474202,0.382313188095233,-0.233917342706058,0.277144307206767,0.0356626656365391,-0.104176590330624,0.0223321066695451,1.44172868088432e-14
"CRC_05",-11.9143787069458,5.90637358154932,2.5144385533043,0.915878845594083,0.555612973255677,0.127743973824567,-2.29526125430484,-1.72776719469275,1.40890157767765,0.652843037439519,0.995754404744291,6.93514223898052,3.3945281803071,-1.77117893486831,-1.51357399796327,1.54941014745713,1.96825588151726,0.755459128092739,0.100796746845324,-2.51014486973844e-15
"CRC_06",-8.22308702460052,-4.11117894684995,2.05036239738347,-0.276881894423799,-1.82004786841967,0.971420089515401,-2.23278003258111,0.948741892286472,2.4096227027595,-2.5776269793662,3.77426711615368,-1.70497710238355,4.28201381041483,0.530848863043541,5.85431562068633,-1.05720806328113,-0.0984263148675969,-0.610693628064976,-0.356565667620365,9.70144103940029e-15
"CRC_07",-5.92313019501528,-6.52792894693614,3.61551059790036,1.34252397630446,0.0587512415396007,1.8387332397796,1.23888855345059,-0.712191825260351,-0.992043174940222,-2.5580975789541,0.479348850895274,-2.31834695321902,-0.317283701917464,-0.249961685812577,-2.70950005558145,-0.968982512835393,3.18302405166563,1.08589872124796,4.3928334663952,3.7175124090183e-15
"CRC_08",-7.86389281903883,-5.38714406883578,2.57192161603349,-1.01839916515504,-0.0970131415913859,0.143272269819583,-0.694409888285952,5.3198591859602,3.69987318993971,-0.515930635425762,-1.15672608476617,3.7372047023718,-2.78448258707566,3.71027763758996,-1.27617255612399,-1.84196343927847,-2.85980450508206,1.23180886948278,-0.0181492234122969,-1.8439893709199e-14
"CRC_09",-6.32872586079023,-7.06116397522638,2.82486475146405,-0.379421599789701,-0.78489757897692,2.1644485339608,-0.09281796847661,0.287747856811177,-1.68374138438533,-2.7128193167344,-2.05277424873625,0.240914415076335,-2.85063709015286,-1.02508664086185,0.307915723065888,5.06898834724948,0.981983854148022,-2.31607261706566,-2.2966665398615,2.93645316395974e-15
"CRC_10",-12.635651924791,3.73155609175617,-6.1780108173243,-11.7173076348185,-8.55065581995503,-2.66733701649355,2.14191033296708,-0.671964869864966,-0.341957666450751,-0.048382851326807,-0.510292608000609,-1.05852593436846,-0.448055383810195,-0.134031721144677,-0.613069636447838,-0.114696182714071,0.0669779643778055,-0.0950936208507496,0.351242851936681,3.46944695195361e-18
"Ctrl_01",9.34922319058726,0.875162538070671,-1.25696617148373,2.06463323209731,-3.44102116893329,2.72770970274936,-1.9721528429158,-0.563125457747293,3.33295339934501,-0.363024020598085,5.65686894435212,-2.74137780963327,-1.27165750539697,-1.12875964443921,-3.53147143673311,0.786555276402157,-0.276637372084576,2.28193957925042,-2.45138841741387,1.05679354156507e-14
"Ctrl_02",8.48467168495659,1.32124113270916,-0.435904408994094,3.43215274941154,-3.78475122210724,-1.42907457559042,-2.12424240625512,-1.747329998707,1.68929658017834,2.26615409609947,0.45093520414301,1.76159811245327,-5.2208213081821,-3.38698925896084,3.82756170950816,-0.0160642179084738,-0.659082179313278,-0.236167374331518,2.52207385505601,-1.10864178351922e-14
"Ctrl_03",9.68421540570067,0.369281689186644,1.67154972776703,2.54487481997439,-4.57186380379048,-3.03231479900082,-7.44976889752398,-1.82523915294839,0.220744926002293,0.813078107649705,-5.92592510804385,-1.80130213518244,1.66471106208307,2.62061967188086,-0.33752240866996,-0.538999907737367,1.55981265898294,0.644224019258727,-0.818741107325419,-6.80878964320897e-15
"Ctrl_04",10.9756232717332,3.53867046991765,-3.63556215428055,2.19005590149748,-3.18678400686768,4.82295889958843,0.465104635372816,6.00469119361771,-7.38432491850107,-2.16309414424446,-0.318520337465619,1.68739354110793,1.13688048384506,-0.262827462004567,0.970215353436583,-0.233417917014806,-0.412729638039839,1.43201261748621,0.205008536701651,-2.85362011798185e-15
"Ctrl_05",8.72958664438747,1.10131142610082,-3.90079063281924,-4.0881758201048,3.64345579915602,10.31296042167,0.623050001484506,-5.68832097548519,2.00838191121763,0.530814259493887,-1.62043127628099,0.725174031163213,0.164811470129107,2.27697666502874,0.567587596374083,-0.422885359929216,-0.532410740011297,-0.946477806438476,0.544475137707971,-1.06113035025501e-14
"Ctrl_06",9.83692706643039,0.768805075194891,1.09036160583291,2.98021144082905,-2.39300979162389,-2.62831045436643,1.13759603491247,-0.371868261678196,0.010296339490048,-2.02539942619055,1.18205396004809,0.693206393418099,2.04629565417202,-0.414275585906988,-3.24465205646972,-1.43649763149775,-2.32494891484582,-5.09628902664085,0.695360642120118,5.83907922013793e-15
"Ctrl_07",9.8690724792378,-1.06401338044814,2.03083060274382,-9.28063111334774,8.58132142778948,-4.01844764566647,-5.94258970852359,0.244388118597358,-3.44614889330433,-0.216546123461134,2.35530131371684,-0.0993671191094802,-0.640023417909814,-0.752530847235704,-0.270708439180764,0.00059539740566086,-0.600772583283141,0.172824873784982,0.292290786823131,-1.12678963382074e-14
"Ctrl_08",8.09741329915823,0.590975144188952,2.21379211770841,2.05318203880553,-0.0992952078834051,-5.36880306199809,6.42526785704815,-4.2681136175021,-2.13912868939665,-0.170951188089789,2.55926397686043,1.22500343681834,-0.427019171410346,4.98972220235874,1.42291072286676,1.83350881547849,0.262707043301112,1.31524675269645,-0.193437297075978,-1.57946572487688e-15
