"Alignment.ID","Average.Rt(min)","Average.Mz","Metabolite.name","Adduct.ion.name","Post.curation.result","Fill.%","MS/MS.included","Formula","Ontology","INCHIKEY","SMILES","Comment","Isotope.tracking.parent.ID","Isotope.tracking.weight.number","Dot.product","Reverse.dot.product","Fragment.presence.%","S/N.average","Spectrum.reference.file.name","MS1.isotopic.spectrum","MS/MS.spectrum","","CRC_01","","CRC_02","","CRC_03","","CRC_04","","CRC_05","","CRC_06","","CRC_07","","CRC_08","","CRC_09","","CRC_10","","Ctrl_01","","Ctrl_02","","Ctrl_03","","Ctrl_04","","Ctrl_05","","Ctrl_06","","Ctrl_07","","Ctrl_08","","Ctrl_09","","Ctrl_10"
"57","1.844","101.05889","HMDB0000139","[M-H]-","found in higher mz's MsMs_1583","0.25",TRUE,"C3H6O4",NA,NA,NA,NA,"null","null","88","45","50","72.73","IDA-NEG-230727-Ctrl_02","101.06019:2295 102.06354:195 103.0669:16","57.03422:36","12.7",34086.0913322374,"14",9090.95610321999,"8.8000000000000007",708.471074380165,"13.1",1224.35509138381,"10.9",29055.1677713808,"0",4695.65349423138,"15.6",12261.7248280817,"12.9",8784.23076923077,"15.6",7579.26159921027,"-2",576.818181818182,"17.7",6852.0497132749,"12.1",7540.71428571429,"13",5256.79007095968,"11.7",12421.0183029229,"14.3",18864.3620689655,"14.8",14088.3450759481,"13.8",8004,"8.8000000000000007",617.742413178561,"12.1",5216,"14.1",3588.67961023409
"539","1.127","179.05634","HMDB0000143","[M-H]-","adduct linked to 407_[M-H2O-H]-; found in higher mz's MsMs_4788; found in higher mz's MsMs_4783; found in higher mz's MsMs_1048; found in higher mz's MsMs_7320; found in higher mz's MsMs_6718; found in higher mz's MsMs_5120; found in higher mz's MsMs_16090; found in higher mz's MsMs_18087","0.8",TRUE,"C6H12O6",NA,NA,NA,NA,"null","null","82.2","90.5","80","183.45","IDA-NEG-230727-Ctrl_06","179.05528:9552 180.05863:984 181.06199:1137","56.99981:36 59.01322:555 71.01358:287 89.02193:322 101.0229:72 119.03584:107","-2",4039.06023219779,"-0.6",100118.496378288,"-1.7",3559.09090909091,"-3.3",11523.3420365535,"-1.5",8267.64314502425,"-0.1",7276.49148554717,"-0.5",11425.4623292296,"-1.1000000000000001",5566.44230769231,"-0.6",108848.710760118,"-0.8",59412.2727272727,"0.2",25076.1609086342,"-0.6",71451.1428571429,"-0.6",19606.3523533633,"-0.8",74771.8362933424,"-0.9",73592.3965517241,"0.1",14510.6612212051,"-0.4",22514.9090909091,"-0.5",23318.2570587697,"-0.7",18898,"-1.1000000000000001",15615.8705538112
"38","0.984","89.02429","HMDB0000190","[M-H]-","found in higher mz's MsMs_376; found in higher mz's MsMs_317; found in higher mz's MsMs_9430; found in higher mz's MsMs_8331; found in higher mz's MsMs_7627; found in higher mz's MsMs_6935; found in higher mz's MsMs_3821; found in higher mz's MsMs_2980; found in higher mz's MsMs_2704; found in higher mz's MsMs_2269; found in higher mz's MsMs_1551; found in higher mz's MsMs_757; found in higher mz's MsMs_13276; found in higher mz's MsMs_12077; found in higher mz's MsMs_296; found in higher mz's MsMs_661; found in higher mz's MsMs_1874; found in higher mz's MsMs_1254; found in higher mz's MsMs_5285; found in higher mz's MsMs_5024","0.35",TRUE,"C3H6O3",NA,NA,NA,NA,"null","null","75","75","100","373.77","IDA-NEG-230727-CRC_07","89.02476:3658 90.02811:143 91.03147:48","89.0192:107 89.02186:36 89.02453:107 89.02719:107 89.02986:36","-1.4",25024.2883020668,"0",5748.21088862576,"-7.6",5154.54545454545,"0",30824.9399477807,"7.2",4801.26151390731,"0.4",166345.500859486,"-0.5",7590.69037419578,"0.9",2965.67307692308,"0.8",116823.091806515,"-0.4",557885.727272727,"-0.1",1336.19471412614,"0.8",2043.71428571429,"1.3",2961.17894065432,"-0.1",1106.67923918187,"-0.8",3678.6724137931,"1.6",1157.57159239513,"-0.2",599.393939393939,"-0.7",12676.8844724086,"0",1877,"-2.2000000000000002",1470.07463718201
"39","1.134","89.0249","HMDB0000190","[M-H]-","adduct linked to 22_[M-H2O-H]-; found in higher mz's MsMs_7320; found in higher mz's MsMs_2880; found in higher mz's MsMs_1048; found in higher mz's MsMs_539; found in higher mz's MsMs_341; found in higher mz's MsMs_679; found in higher mz's MsMs_1284; found in higher mz's MsMs_12306; found in higher mz's MsMs_3551; found in higher mz's MsMs_2898","0.4",TRUE,"C3H6O3",NA,NA,NA,NA,"null","null","75","75","100","32.03","IDA-NEG-230727-Ctrl_09","89.0236:2659 90.02695:0 91.03031:26","89.01897:36","-8.1999999999999993",5246.30701746724,"0",12925.281496431,"-14.5",1461.57024793388,"0",5086.47519582245,"0.4",3014.24489662343,"-4.5999999999999996",20717.5611509849,"-2.8",3021.33547972363,"-4.9000000000000004",1165.48076923077,"-3.7",38627.9486673248,"-2.9",68103,"-3.5",3491.75411144285,"-2.5",8243.85714285714,"-2",2745.96539718819,"-5.7",8942.62352319169,"-7.6",9401.05172413793,"-1.5",2198.17072729102,"-4.2",2410.12121212121,"-5.8",4186.47071488552,"-1",2659,"-9",2178.4525711609
"226","0.944","132.02867","HMDB0000191","[M-H]-","found in higher mz's MsMs_3595; similar chromatogram in higher mz_19730; similar chromatogram in higher mz_17406; found in higher mz's MsMs_4347; similar chromatogram in higher mz_19579","0.45",TRUE,"C4H7NO4",NA,NA,NA,NA,"null","null","48","78.1","100","121.54","IDA-NEG-230727-Ctrl_09","132.02867:12707 133.03202:1270 134.03538:107","71.01575:215 88.04108:323 92.93049:72 115.00267:107 132.03128:215","6.1",58976.2411026076,"8.9",3827.77099082947,"7.1",6950.82644628099,"6.6",30824.9399477807,"12.1",247.598687936924,"4.9000000000000004",754.901925654145,"10.5",1074.89819951706,"9.3000000000000007",539.615384615385,"10.6",505.618953603159,"-177.3",5351.59090909091,"9.1",8975.19468356429,"12.1",5076.42857142857,"37.700000000000003",659.589656363781,"8.6",7597.49859267293,"11.3",1840.68965517241,"14.2",3349.66582838749,"8.3000000000000007",3671.63636363636,"8.5",9122.33386543028,"5.0999999999999996",12707,"3.3",5451.57211863942
"422","1.748","163.04083","HMDB0000205","[M-H]-","ion correlated with 158","0.05",TRUE,"C9H8O3",NA,NA,NA,NA,"null","null","78.1","84.7","75","88.71","IDA-NEG-230727-Ctrl_07","163.04083:12368 164.04418:1270 165.04754:50","93.02871:107 117.0351:72 119.04814:2510 120.0611:111 161.04434:36 163.03618:365","-4.4000000000000004",5514.58408086045,"93.1",367.04653336721,"124.8",312.396694214876,"-7.5",441.127937336815,"-0.2",678.205101740271,"-5.7",190.769439695993,"-0.5",188.833467482727,"135.4",134.903846153846,"123",430.278381046397,"-1.7",153.818181818182,"-4",135.060112613829,"-2.7",111.714285714286,"123.7",191.300927525447,"-6.6",225.704318517356,"121.9",365.431034482759,"60.1",72.9178955839453,"-3.9",17240.2424242424,"112.6",68.8630886822002,"-3.7",104,"-2.8",242.654806877563
"532","1.03","178.99242","HMDB0000211","[M-H]-","ion correlated with 8331; ion correlated with 9430; ion correlated with 5932; ion correlated with 3821; ion correlated with 2849; ion correlated with 1925; ion correlated with 12077; ion correlated with 4951; ion correlated with 15743; ion correlated with 10655; ion correlated with 19597; found in higher mz's MsMs_11737; found in higher mz's MsMs_1023","0.15",TRUE,"C6H12O6",NA,NA,NA,NA,"null","null","60.3","71.9","50","41.96","IDA-NEG-230727-CRC_06","178.99495:1718 179.9983:0 181.00166:476","87.01075:36 179.04897:72","83.7",1699.088068157,"79.099999999999994",432.590557182783,"77.900000000000006",368.181818181818,"16.600000000000001",720.208877284595,"81.7",495.197375873849,"79.7",4682.02710568166,"79.900000000000006",491.797052674795,"82.1",256.538461538462,"7.1",3326.70483711747,"4",30250.9090909091,"83.2",181.880951653289,"79.099999999999994",266.142857142857,"81.5",673.538682329179,"82.6",183.83980782462,"87.9",116.396551724138,"82.8",65.3222814606176,"83.5",117.090909090909,"5.6",2193.4919130242,"79.599999999999994",185,"81",193.688590243077
"538","0.976","179.05519","HMDB0000211","[M-H]-","found in higher mz's MsMs_3939; found in higher mz's MsMs_5766; found in higher mz's MsMs_1558; found in higher mz's MsMs_1433","0.25",TRUE,"C6H12O6",NA,NA,NA,NA,"null","null","58.2","73.5","100","60.93","IDA-NEG-230727-Ctrl_04","179.05534:6930 180.05869:459 181.06205:280","57.03579:36 59.05852:36 73.02671:107 109.02756:36 149.04668:72 161.04063:72 179.05606:502","4.4000000000000004",1863.03516245286,"2.9",2739.74019549096,"4.7",4044.42148760331,"1.5",57643.7180156658,"4.9000000000000004",1776.2514569388,"0.2",2509.98077085728,"0.9",979.443919251068,"3.9",3149.23076923077,"3.6",5963.62487660415,"0.9",13773.1363636364,"5.0999999999999996",2251.00187689714,"3.3",3555.14285714286,"4.2",209.235389480958,"2.4",12613.9590913329,"3",2650.05172413793,"3.1",829.441062267378,"3.9",2135.51515151515,"4",1533.21641565957,"3.4",9388,"3.9",2959.73576101781
"541","5.106","179.05934","HMDB0000211","[M-H]-",NA,"0.05",TRUE,"C6H12O6",NA,NA,NA,NA,"null","null","36.8","74.6","100","28.17","IDA-NEG-230727-Ctrl_05","179.05934:2027 180.06269:371 181.06605:262","62.96328:2 65.9977:17 67.02966:5 71.0089:2 76.96972:5 91.01578:2 92.03177:2 94.04231:33 109.02203:7 121.0257:5 122.03454:72 135.03439:24 136.034:7 161.03738:5 164.03328:165 165.0332:17 179.05637:263","-18.399999999999999",1609.66238035927,"-130.80000000000001",150.751254775818,"5.3",223.140495867769,"-127.8",NA,"63.6",258.363848282008,"-12.1",675.868872065805,"-9.6999999999999993",1479.54134412291,"3.8",499.807692307692,"-17.5",1289.16090819348,"-78",467.863636363636,"-10.6",1057.0704813909,"-38.9",32.8571428571429,"-15.8",149.453849629256,"-28",111.031963141602,"-9.6999999999999993",5486.87931034483,"-7.3",897.801589377326,"-8.4",97.5757575757576,"-16",180.259261550465,"-16.7",190,"-12",118.607058070199
"990","1.19","220.08144","HMDB0000215","[M-H]-","ion correlated with 1864; found in higher mz's MsMs_10165; found in higher mz's MsMs_1864; found in higher mz's MsMs_3631","0.65",TRUE,"C8H15NO6",NA,NA,NA,NA,"null","null","84.1","79.7","50","153.02","IDA-NEG-230727-Ctrl_03","220.08144:17943 221.08479:2037 222.08815:509","58.00648:255 59.01325:708 69.00022:36 72.99084:72 75.01966:36 83.01624:36 84.98879:72 89.0247:179 100.04317:438 108.04806:36 112.98864:251 114.00268:73 119.03601:470","8.9",7511.75777500991,"3.6",9667.74351279704,"2",2817.14876033058,"-1.2",8048.33420365535,"3.7",10592.9177795623,"0.4",1269.97941283333,"4.4000000000000004",5355.81516014196,"3.9",1649.80769230769,"1.4",11684.4856860809,"3.8",2358.54545454545,"4.2",31078.2323131927,"2.2000000000000002",32541.7142857143,"3.9",35755.3389853031,"3.5",20284.2655286888,"1.9",12392.1724137931,"5.5",20895.5344532743,"3.6",16983.7575757576,"3.1",10698.0833652759,"0.9",5274,"3.5",11131.6532482398
