fromNode	toNode	weight	direction	fromAltName	toAltName
Butyric acid	Pyrimidine	0.912053884747022	undirected	Butyric acid	Pyrimidine
Butyric acid	Diacetyl	0.912053884747022	undirected	Butyric acid	Diacetyl
Butyric acid	D-Proline	0.0499053254045035	undirected	Butyric acid	D-Proline
Butyric acid	L-Histidinol	0.184104487911292	undirected	Butyric acid	L-Histidinol
Butyric acid	4-Guanidinobutanoic acid	0.031176748689481	undirected	Butyric acid	4-Guanidinobutanoic acid
Butyric acid	4-Acetamidobutanoic acid	0.0572666091401861	undirected	Butyric acid	4-Acetamidobutanoic acid
Butyric acid	Phenylacetaldehyde	0.0878844798601499	undirected	Butyric acid	Phenylacetaldehyde
Butyric acid	MG(0:0/16:0/0:0)	0.0589174259900302	undirected	Butyric acid	MG(0:0/16:0/0:0)
Butyric acid	3-Methyladenine	0.912053884747022	undirected	Butyric acid	3-Methyladenine
Butyric acid	Phenylethylamine	0.633418147074098	undirected	Butyric acid	Phenylethylamine
Butyric acid	Alpha-Linolenoyl ethanolamide	0.912053884747022	undirected	Butyric acid	Alpha-Linolenoyl ethanolamide
Butyric acid	Palmitoleoylethanolamde	0.135796205456862	undirected	Butyric acid	Palmitoleoylethanolamde
Butyric acid	Norvaline	0.116881693032657	undirected	Butyric acid	Norvaline
Butyric acid	Diisobutyl phthalate	0.352499760872623	undirected	Butyric acid	Diisobutyl phthalate
Butyric acid	Prednisolone	0.912053884747022	undirected	Butyric acid	Prednisolone
Butyric acid	Indole-3-carboxaldehyde	0.702366717956364	undirected	Butyric acid	Indole-3-carboxaldehyde
Butyric acid	Methyl nicotinate	0.895445733736326	undirected	Butyric acid	Methyl nicotinate
Butyric acid	(E)-Piperolein A	0.0938263825476347	undirected	Butyric acid	(E)-Piperolein A
Butyric acid	(S)-2-Propylpiperidine	0.0385524824738837	undirected	Butyric acid	(S)-2-Propylpiperidine
Butyric acid	2-Ethoxyethanol	0.220667908638801	undirected	Butyric acid	2-Ethoxyethanol
Butyric acid	Cyclamic acid	0.894244503035255	undirected	Butyric acid	Cyclamic acid
Butyric acid	Pyrrolidine	0.088286247192798	undirected	Butyric acid	Pyrrolidine
Butyric acid	Jasmonic acid	0.293906131213942	undirected	Butyric acid	Jasmonic acid
Butyric acid	beta-Solanine	0.347961698124323	undirected	Butyric acid	beta-Solanine
Butyric acid	Paullinic acid	0.0524577052699212	undirected	Butyric acid	Paullinic acid
Butyric acid	(-)-Menthone	0.383797319457547	undirected	Butyric acid	(-)-Menthone
Butyric acid	Salsolinol	0.279447239297333	undirected	Butyric acid	Salsolinol
Butyric acid	DOPA	0.912053884747022	undirected	Butyric acid	DOPA
Butyric acid	p-Synephrine	0.912053884747022	undirected	Butyric acid	p-Synephrine
Butyric acid	Cyromazine	0.912053884747022	undirected	Butyric acid	Cyromazine
Butyric acid	Butyrylcarnitine	0.738822107950758	undirected	Butyric acid	Butyrylcarnitine
Butyric acid	Cyclohexylamine	0.248466634344113	undirected	Butyric acid	Cyclohexylamine
Butyric acid	4-Pyridoxic acid	0.912053884747022	undirected	Butyric acid	4-Pyridoxic acid
Butyric acid	L-Dihydroorotic acid	0.912053884747022	undirected	Butyric acid	L-Dihydroorotic acid
Butyric acid	Isomaltose	0.912053884747022	undirected	Butyric acid	Isomaltose
Butyric acid	Estrone	0.912053884747022	undirected	Butyric acid	Estrone
Butyric acid	Hydroxyacetone	0.912053884747022	undirected	Butyric acid	Hydroxyacetone
Butyric acid	Cortexolone	0.912053884747022	undirected	Butyric acid	Cortexolone
Butyric acid	Glycylvaline	0.912053884747022	undirected	Butyric acid	Glycylvaline
Butyric acid	Deoxyguanosine	0.912053884747022	undirected	Butyric acid	Deoxyguanosine
Butyric acid	Chenodeoxycholic acid	0.912053884747022	undirected	Butyric acid	Chenodeoxycholic acid
Butyric acid	Monoethylhexyl phthalic acid	0.386708365776992	undirected	Butyric acid	Monoethylhexyl phthalic acid
Butyric acid	Methylguanidine	0.912053884747022	undirected	Butyric acid	Methylguanidine
Butyric acid	Temazepam	0.394796105709486	undirected	Butyric acid	Temazepam
Butyric acid	Piplartine	0.499535512044029	undirected	Butyric acid	Piplartine
Butyric acid	Leucylalanine	0.912053884747022	undirected	Butyric acid	Leucylalanine
Butyric acid	2,6-Dimethylaniline	0.912053884747022	undirected	Butyric acid	2,6-Dimethylaniline
Butyric acid	p-Anisidine	0.334162418395679	undirected	Butyric acid	p-Anisidine
Glyoxylic acid	Glycerol 3-phosphate	0.0881481918468643	undirected	Glyoxylic acid	Glycerol 3-phosphate
Glyoxylic acid	Lactic acid	0.0328565717687035	undirected	Glyoxylic acid	Lactic acid
Glyoxylic acid	Phenylpyruvic acid	0.0881481918468643	undirected	Glyoxylic acid	Phenylpyruvic acid
Glyoxylic acid	Succinic acid	0.432398014983438	undirected	Glyoxylic acid	Succinic acid
Glyoxylic acid	D-Ribose	0.0706483302678171	undirected	Glyoxylic acid	D-Ribose
Glyoxylic acid	Uracil	0.399159990500776	undirected	Glyoxylic acid	Uracil
Glyoxylic acid	2-Furoylglycine	0.0881481918468643	undirected	Glyoxylic acid	2-Furoylglycine
Glyoxylic acid	Dodecanedioic acid	0.0881481918468643	undirected	Glyoxylic acid	Dodecanedioic acid
